Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2",BatteryHolder_CR2032-BS-6-1,2,Battery_Cell,C70377
BZ1,MLT-7525,1,Buzzer,C95299
"C1, C11, C12, C13, C14, C2",0805,6,10uF,C15850
"C10, C4, C6",0805,3,100nF,C49678
C15,CP_EIA-3528-21_Kemet-B_rotated,1,100uF,C16133
"C3, C5, C7, C9",0805,4,22pF,C1804
C8,0805,1,2.2nF,C36576
D1,D_SOD-123,1,D_Schottky,C8598
D2,0805,1,LED,C131250
F1,0805,1,Polyfuse,C2897461
"J2, J3",PinSocket_2x12_P2.54mm_Vertical_SMD_rotated,2,Conn_02x12_Odd_Even,C3975157
J4,PinSocket_2x03_P2.54mm_Vertical_SMD_rotated,1,Conn_02x03_Odd_Even,C5160818
J5,USB_Micro_MICRO QTZB5.5_C2681557,1,USB_B_Micro,C2681557
L1,0805,1,2.2uH,C1043
"R1, R10, R13, R4, R8",0805,5,330,C17630
R11,0805,1,47R,C17714
"R12, R2, R3, R5, R6, R7, R9",0805,7,4k7,C17673
"SW1, SW2",SW_SP3T_SSSS812201,2,SW_SP3T,C160878
"U1, U4, U5, U7",SOT-23-6_rotated,4,TC233A,C2798022
U10,SOT-23-3,1,BL8536,
U2,AHT20,1,AHT20,C2757850
U3,LQFP-32_7x7mm_P0.8mm,1,STM32F030K6Tx,C46830
U6,LQFP-48_7x7mm_P0.5mm,1,HT1621B-LQFP,C7532
U8,IRM-H638J7,1,IRM-H638J7,C414640
U9,SOT-23-3,1,LR6206B-U33,C5336486
